f0,f1,f2,class
0.123360041,0.673773325,0.846174428,2
0.345202139,0.394254801,0.843541293,2
0.119645736,0.788905667,0.84235281,2
0.883430576,0.938030779,0.045909747,2
0.431710309,0.130987996,0.753478698,1
0.875068107,0.799306836,0.112272206,2
0.076698671,0.523253097,0.593960715,1
0.07481642,0.67308132,0.235101124,1
0.38900144,0.965503063,0.669409139,2
0.741158541,0.573996307,0.560870043,2
0.033154376,0.983822989,0.698002003,2
0.114760723,0.359524579,0.732352175,1
0.417386559,0.091568252,0.88687582,1
0.604533143,0.930526326,0.999150106,3
0.377624835,0.362204069,0.509762718,1
0.867845989,0.924191887,0.387412506,2
0.385397635,0.730477086,0.293793105,1
0.60578916,0.105729765,0.81723505,2
0.614437212,0.199510168,0.029236852,1
0.242449597,0.33268373,0.321963144,1
0.273827656,0.073623443,0.974191646,1
0.415115639,0.349004121,0.142354735,1
0.904560915,0.723577005,0.688821725,2
0.432322973,0.025523095,0.853454636,1
0.552583815,0.362385831,0.746434745,2
0.828792838,0.424700048,0.073379268,1
0.043954059,0.944579085,0.386001286,1
0.11768815,0.173925483,0.726052005,1
0.163140996,0.700211337,0.92236559,2
0.090136109,0.741650894,0.401951229,1
0.430451534,0.047918409,0.647832745,1
0.828048313,0.904204045,0.178060264,2
0.551112208,0.030484018,0.212749299,1
0.825932564,0.938935999,0.522854557,2
0.761154217,0.402190101,0.623499577,2
0.091991965,0.747965455,0.094202008,1
0.817747808,0.033089488,0.773653483,2
0.878595158,0.773158577,0.622653926,2
0.610627896,0.314150511,0.272922045,1
0.188654125,0.491484815,0.327850428,1
0.978182148,0.077687552,0.526335371,2
0.436351995,0.753321299,0.036281647,1
0.599939077,0.148232957,0.464869156,1
0.9056122,0.403318192,0.933005957,2
0.70945971,0.093167898,0.001634538,1
0.515888105,0.118347766,0.970082051,2
0.480167171,0.422254492,0.572286307,1
0.045865926,0.950391264,0.761922634,2
0.246689905,0.338507899,0.833981322,1
0.70439349,0.146217205,0.411504998,1
0.300011948,0.741784357,0.966553776,2
0.861231912,0.860655067,0.648959798,2
0.294144069,0.273253328,0.142966768,1
0.671900966,0.456145238,0.913866654,2
0.601962132,0.654811388,0.859324815,2
0.050015496,0.024215566,0.19164256,0
0.7276474,0.403381612,0.185524069,1
0.157104509,0.098996941,0.834322837,1
0.490633556,0.945846517,0.037665666,1
0.660353259,0.656490176,0.902999752,2
0.8241492,0.739363097,0.007295578,2
0.403704966,0.098752625,0.895354333,1
0.704355079,0.847013148,0.178997276,2
0.226185323,0.251579296,0.471855303,1
0.277990613,0.93300141,0.844159553,2
0.419163123,0.129335867,0.745746221,1
0.715571847,0.611658188,0.444900921,2
0.127657781,0.838320896,0.905656867,2
0.833422626,0.499348785,0.56585167,2
0.612789522,0.024476141,0.947932334,2
0.386397269,0.547364086,0.610676054,2
0.389595781,0.746283985,0.541497287,2
0.132948624,0.163407259,0.735403775,1
0.640932791,0.857360795,0.844996655,2
0.217969094,0.399850359,0.296296254,1
0.487870777,0.597796489,0.887192643,2
0.935966654,0.746444117,0.619419723,2
0.561278968,0.453708297,0.916743283,2
0.839846898,0.791126572,0.066316519,2
0.694224556,0.867473652,0.903269993,2
0.782638103,0.919232817,0.159371632,2
0.1505074,0.407235814,0.04339366,1
0.112051862,0.721924612,0.268359186,1
0.71871773,0.495894936,0.706237707,2
0.493283779,0.101611655,0.407501651,1
0.299537855,0.045043916,0.676952884,1
0.19944204,0.438581301,0.260778078,1
0.598768432,0.002892626,0.925320783,2
0.73503244,0.79217397,0.995457115,3
0.417642509,0.600388357,0.908165808,2
0.387758541,0.736185429,0.118154023,1
0.378135798,0.594651336,0.430324216,1
0.077317988,0.621617612,0.797347102,1
0.968325606,0.763333415,0.675983837,2
0.24902734,0.863223931,0.490491152,2
0.623902575,0.565837366,0.344941479,2
0.648963979,0.932561014,0.96504933,3
0.407777295,0.885453266,0.901248802,2
0.665245304,0.153709177,0.951527356,2
0.133523262,0.939061494,0.897089966,2
0.415213116,0.464410952,0.486552436,1
0.885208912,0.153436011,0.543947088,2
0.314034302,0.305891178,0.171547773,1
0.100261153,0.673061573,0.528854164,1
0.320876847,0.371083509,0.686926921,1
0.436334544,0.236319302,0.270681254,1
0.715818277,0.42965918,0.612321238,2
0.313218696,0.865150406,0.39153868,2
0.37856366,0.46958917,0.971183589,2
0.08981424,0.387634677,0.250065125,1
0.480102895,0.280282645,0.635780763,1
0.905411089,0.274753705,0.185654893,1
0.607806058,0.712462076,0.524449183,2
0.627039734,0.529054504,0.648505625,2
0.097931769,0.70404829,0.94443523,2
0.157210281,0.231049311,0.476762814,1
0.017186124,0.229132154,0.034358937,0
0.67341661,0.79074547,0.239742505,2
0.941031059,0.625276021,0.075373722,2
0.311692758,0.829376634,0.340346512,1
0.634331096,0.911905639,0.120609793,2
0.235115873,0.392257301,0.231657766,1
0.68596609,0.991744264,0.46300802,2
0.144859727,0.701739753,0.230422928,1
0.551053693,0.853917121,0.310344998,2
0.416461111,0.896684551,0.049993305,1
0.171914499,0.923787158,0.851415154,2
0.168048111,0.416862233,0.702204453,1
0.139499577,0.950282489,0.967710792,2
0.020140038,0.776131141,0.063025442,1
0.983146162,0.295759132,0.185098689,1
0.242352236,0.724704643,0.786765522,2
0.84183635,0.620226583,0.931532814,2
0.080119925,0.05505898,0.470794363,1
0.142386498,0.149551517,0.750826666,1
0.126208901,0.329096392,0.68962478,1
0.453587941,0.112956011,0.404491473,1
0.970385237,0.686883177,0.533201046,2
0.681763122,0.042933873,0.502460824,1
0.668515368,0.727270492,0.544988257,2
0.718663347,0.050396739,0.479406834,1
0.468584245,0.893767016,0.629151143,2
0.564903341,0.529637147,0.596533314,2
0.382855318,0.423193185,0.53500914,1
0.657806593,0.826333532,0.455930125,2
0.117199003,0.662391336,0.128080054,1
0.369751718,0.354688336,0.997518353,2
0.556767459,0.33274297,0.793161119,2
0.276908182,0.021963464,0.236944183,1
0.011772342,0.298753437,0.584285584,1
0.69145388,0.714588462,0.925280236,2
0.162087027,0.008808809,0.303742927,0
0.92051527,0.650383697,0.277856222,2
0.624703398,0.731010819,0.461517736,2
0.033641324,0.061501901,0.277379825,0
0.966231076,0.880331738,0.415108266,2
0.127653165,0.417364051,0.409250903,1
0.379949968,0.813272883,0.113949977,1
0.269129216,0.837907262,0.148500492,1
0.837848253,0.247547026,0.650778694,2
0.464433084,0.02244842,0.05389507,1
0.920340917,0.5593452,0.967237771,2
0.885203113,0.373882024,0.901834915,2
0.860051999,0.410295626,0.2651712,2
0.439355318,0.082361429,0.114398818,1
0.054244381,0.015546567,0.470031387,1
0.291352418,0.640538058,0.784649892,2
0.758851611,0.931254214,0.333360796,2
0.080335027,0.185211146,0.454354884,1
0.538752497,0.490582252,0.558746354,2
0.044475626,0.572419242,0.223366063,1
0.695384306,0.714404484,0.779453491,2
0.125906385,0.959527595,0.243150925,1
0.452627011,0.105968188,0.30356289,1
0.90541493,0.779219667,0.285599105,2
0.799845223,0.222436563,0.794548166,2
0.935181891,0.603140779,0.305830161,2
0.660902688,0.549606662,0.580408404,2
0.481195229,0.532927106,0.760102199,2
0.959650419,0.205578596,0.690442379,2
0.217385997,0.2880772,0.646882448,1
0.077261066,0.144363243,0.455551931,1
0.229917661,0.149586839,0.358335721,1
0.77609523,0.233563697,0.03738398,1
0.08025684,0.523118466,0.571075405,1
0.448720797,0.100656069,0.592891143,1
0.039292625,0.477387925,0.835227494,1
0.901948744,0.419622306,0.428114261,2
0.248341613,0.953811995,0.534289804,2
0.487988929,0.416742451,0.30079668,1
0.616750432,0.946151891,0.407878172,2
0.236148208,0.830031577,0.697711492,2
0.928488439,0.002742297,0.049968414,1
0.08674548,0.463001164,0.782012392,1
0.141038243,0.421913435,0.17156887,1
0.489777713,0.883951065,0.789240482,2
0.990846801,0.755102463,0.503515158,2
0.259729506,0.586838312,0.923133664,2
0.196133167,0.847164715,0.384633687,1
0.211388096,0.366240922,0.236540332,1
0.718102855,0.44266294,0.410098219,2
0.002020011,0.398627699,0.418554683,1
0.883255974,0.132200462,0.187799122,1
0.131447284,0.321438891,0.028321121,0
0.169328846,0.41536262,0.136350442,1
0.869080097,0.696180694,0.360834029,2
0.010917472,0.770740451,0.540066634,1
0.717659923,0.876583558,0.237560138,2
0.051901346,0.702884055,0.679452586,1
0.710976026,0.966650192,0.848034843,3
0.721952896,0.362192513,0.259021369,1
0.134558373,0.345039463,0.181092008,1
0.784857444,0.854523416,0.552213509,2
0.993180497,0.249627574,0.44498176,2
0.495897483,0.485252118,0.074482592,1
0.202247061,0.776501961,0.883877008,2
0.046201425,0.32571973,0.924184731,1
0.591061537,0.527108843,0.75158296,2
0.307290052,0.31151577,0.118293377,1
0.776333631,0.431269106,0.687650331,2
0.532974842,0.721870897,0.796640851,2
0.890608302,0.998715068,0.466697148,2
0.945409588,0.012186023,0.708496341,2
0.51551072,0.189519103,0.763883243,1
0.774874407,0.581029079,0.124346275,1
0.768756225,0.724517812,0.527292984,2
0.764839668,0.444357332,0.185674687,1
0.126437877,0.816375277,0.467499288,1
0.745432199,0.391802417,0.59584928,2
0.103130861,0.50642771,0.207722929,1
0.225885827,0.620283997,0.347492149,1
0.353712328,0.319954987,0.297066311,1
0.733139779,0.438561452,0.289737926,1
0.97702624,0.170843486,0.79655786,2
0.024588719,0.475197558,0.75371347,1
0.39892291,0.343173685,0.609938307,1
0.744453276,0.739119844,0.106285872,2
0.307902746,0.126388864,0.747793338,1
0.669847437,0.021227277,0.671077439,1
0.736826393,0.483685989,0.459471656,2
0.105993552,0.945196831,0.615830722,2
0.480514093,0.201180857,0.922755399,2
0.956725121,0.946056573,0.242292995,2
0.68232091,0.231102948,0.090018097,1
0.083702818,0.756769327,0.223416466,1
0.782661058,0.140843488,0.436713503,1
0.90874796,0.195948207,0.930628335,2
0.110550254,0.455272466,0.819678313,1
0.002609638,0.458339396,0.528376954,1
0.902798249,0.790880554,0.599122899,2
0.926975298,0.861745639,0.100814875,2
0.318868063,0.935762222,0.204860546,1
0.582995918,0.249485841,0.269209527,1
0.032964012,0.974733665,0.964819753,2
0.859959454,0.122989441,0.580192993,2
0.616082534,0.332602241,0.482702082,1
0.181889304,0.238988825,0.77518669,1
0.210019521,0.036571959,0.534979388,1
0.619071911,0.569061644,0.080780617,1
0.483279192,0.19829592,0.971604384,2
0.560903109,0.621854941,0.9488286,2
0.08457303,0.010723549,0.62171837,1
0.129985084,0.353493901,0.182394634,1
0.803473729,0.88740592,0.10986008,2
0.057616887,0.542018882,0.347572268,1
0.181197979,0.980723847,0.212293706,1
0.44184005,0.535386207,0.384014424,1
0.176174201,0.730414368,0.140751599,1
0.08286601,0.529733976,0.269836786,1
0.680352054,0.261483988,0.703291447,2
0.104357493,0.413348544,0.722835741,1
0.681565783,0.328398216,0.135752457,1
0.942533891,0.655663882,0.681660394,2
0.672825322,0.80832758,0.613294016,2
0.037443587,0.688993126,0.026032512,1
0.001416546,0.190977907,0.480731254,1
0.921241515,0.898628446,0.400554256,2
0.015891333,0.622212142,0.685191957,1
0.744328622,0.411049657,0.938814913,2
0.352592354,0.188188604,0.837928334,1
0.025561581,0.106892034,0.08803666,0
0.665774686,0.742712571,0.547682708,2
0.509311186,0.620549447,0.117247599,1
0.646844796,0.0504535,0.711321784,1
0.173573547,0.767181381,0.18246675,1
0.887660715,0.942668241,0.085774129,2
0.55706173,0.553725074,0.361751678,1
0.677237932,0.994880787,0.178822561,2
0.98888333,0.468460654,0.228254747,2
0.072071921,0.737955,0.724109031,2
0.845389584,0.71666409,0.295204096,2
0.657567216,0.260773246,0.10965481,1
0.19132668,0.631113084,0.355561473,1
0.565917113,0.409493324,0.543072991,2
0.921347908,0.248283027,0.466780945,2
0.178163395,0.846238626,0.986437981,2
0.500483995,0.966385934,0.465699304,2
0.158068619,0.423657172,0.081671271,1
0.305804588,0.802542907,0.397173269,2
0.423506318,0.264088388,0.173026573,1
0.186201545,0.872712443,0.718028166,2
0.327338235,0.303300514,0.589657158,1
0.603746007,0.36046077,0.12225254,1
0.235335661,0.846059586,0.492762771,2
0.878949674,0.725583838,0.062160567,2
0.466075312,0.433212874,0.603809515,2
0.209736407,0.109332357,0.185229999,1
0.855595529,0.752082883,0.379337838,2
0.126397796,0.782892672,0.105661415,1
0.807759533,0.735757972,0.695088529,2
0.328356058,0.39046105,0.408544381,1
0.150728714,0.630387432,0.687062884,1
0.443325985,0.654903172,0.681001973,2
0.098525918,0.000783566,0.875857164,1
0.153037066,0.131395351,0.756016428,1
0.285564979,0.615383274,0.142807217,1
0.034398235,0.693188002,0.122247911,1
0.611920423,0.174312533,0.485623943,1
0.895789926,0.767454321,0.911127909,3
0.9844377,0.82918701,0.995724778,3
0.136754759,0.128351122,0.470658414,1
0.654761266,0.245834849,0.283936511,1
0.378645081,0.413017457,0.967860144,2
0.079304334,0.570663088,0.787035448,1
0.11629876,0.651142261,0.753594865,2
0.790757938,0.240002919,0.597042683,2
0.80833081,0.760856829,0.023366428,2
0.623670536,0.431928761,0.973156768,2
0.499526957,0.253959391,0.434020995,1
0.820951265,0.906291685,0.987097472,3
0.56031224,0.386037149,0.104478091,1
0.444373638,0.783293032,0.327914429,2
0.130106719,0.512536638,0.004444495,1
0.917802512,0.300472968,0.634613888,2
0.824001609,0.383952315,0.906510957,2
0.43272215,0.571539924,0.54305695,2
0.66973542,0.152606554,0.249280519,1
0.329489981,0.587578129,0.729924055,2
0.361934096,0.874817491,0.555305142,2
0.085614452,0.436945723,0.555952938,1
0.26395278,0.739816158,0.465182957,1
0.604466834,0.079086891,0.299850598,1
0.961505104,0.480380242,0.904465854,2
0.790691727,0.456797501,0.355055652,2
0.253571351,0.258404423,0.897385536,1
0.146455526,0.82483234,0.373001833,1
0.654195792,0.361564984,0.682318271,2
0.359679792,0.052718174,0.456990718,1
0.304815198,0.619442021,0.392550576,1
0.965400885,0.4277183,0.832246505,2
0.957472679,0.893615635,0.140177465,2
0.319186334,0.831337247,0.555908462,2
0.080748969,0.460173903,0.618840299,1
0.004873089,0.1942205,0.136305741,0
0.345085773,0.280061973,0.187925474,1
0.090197074,0.816763382,0.632201692,2
0.683802009,0.930635553,0.161082124,2
0.777518041,0.688273274,0.573519134,2
0.151665618,0.698407819,0.1842424,1
0.561326093,0.582942498,0.456166611,2
0.885138343,0.544216081,0.111476462,2
0.640550649,0.172837464,0.556869754,1
0.87619763,0.916809419,0.654990097,2
0.765865881,0.435137678,0.254043843,1
0.321805907,0.749366055,0.26700869,1
0.862796682,0.665479879,0.814713654,2
0.121107203,0.195093526,0.978477623,1
0.524611771,0.943504372,0.928382791,2
0.459296492,0.503575331,0.37820342,1
0.339652223,0.496934751,0.612227099,1
0.213235251,0.09205514,0.259661458,1
0.179738039,0.25635823,0.716562278,1
0.532225929,0.253134633,0.192470078,1
0.915297414,0.069897083,0.783833347,2
0.328589821,0.118818916,0.149286175,1
0.094930013,0.855406136,0.164743563,1
0.535355897,0.370863338,0.910565834,2
0.094358841,0.61411359,0.298482973,1
0.625729937,0.66238679,0.459025578,2
0.443568828,0.289970787,0.425137056,1
0.471896108,0.211728049,0.131100361,1
0.456535808,0.373544721,0.705077084,2
0.460669931,0.985000799,0.105468268,2
0.740958078,0.452260813,0.063556422,1
0.640757122,0.228668134,0.31385331,1
0.21262284,0.264515432,0.075043598,1
0.653886181,0.772546413,0.197317644,2
0.255860993,0.572627077,0.29547171,1
0.61048741,0.395182826,0.920616119,2
0.504834754,0.873953578,0.216071285,2
0.053242127,0.868767609,0.039667039,1
0.737482087,0.427596535,0.974053081,2
0.43685813,0.961935482,0.014076947,1
0.7559885,0.810554141,0.99917259,3
0.724840756,0.025281391,0.585615192,1
0.009959731,0.471525395,0.229346891,1
0.803486172,0.694456503,0.668547029,2
0.747331129,0.346257328,0.112316481,1
0.812151017,0.684411417,0.46212794,2
0.263165151,0.445800474,0.083340758,1
0.303667509,0.138404555,0.592517934,1
0.375687391,0.674112499,0.986843625,2
0.344401771,0.235515905,0.481599778,1
0.262169268,0.353881873,0.066557511,1
0.226137085,0.735538042,0.609243758,2
0.71681848,0.038532456,0.618107608,1
0.378437806,0.668409715,0.755238291,2
0.308633933,0.922515227,0.004244264,1
0.263432611,0.894212026,0.238154341,1
0.482066534,0.901342713,0.327796905,2
0.13695096,0.472907572,0.195468535,1
0.523660935,0.426848709,0.073669893,1
0.904763669,0.633646538,0.948462656,2
0.992669223,0.190249357,0.857284439,2
0.849827582,0.575776308,0.348824579,2
0.639103431,0.769016804,0.822056652,2
0.235269031,0.878050187,0.889482398,2
0.344962224,0.878224723,0.952739832,2
0.176771466,0.787664233,0.554629973,2
0.876685863,0.587930957,0.662351336,2
0.748519625,0.199998318,0.120328532,1
0.233417802,0.779118244,0.595382325,2
0.434093923,0.806302691,0.495430488,2
0.567588709,0.681590588,0.733211866,2
0.88889421,0.90713898,0.346819893,2
0.401640638,0.288583049,0.133476817,1
0.846722839,0.053161118,0.675506237,2
0.770880375,0.813052248,0.149542995,2
0.734335229,0.525042638,0.068876723,1
0.736316832,0.062629613,0.756875702,2
0.612836393,0.955658405,0.979327105,3
0.20735105,0.842921265,0.840279383,2
0.062735471,0.646186158,0.663386341,1
0.359541559,0.763530661,0.730170866,2
0.529420487,0.286785445,0.006443315,1
0.970687393,0.430588643,0.976240522,2
0.49577041,0.47177667,0.799220376,2
0.780552028,0.632439119,0.151074558,2
0.013313262,0.830615828,0.007291477,1
0.703429966,0.305856174,0.689345737,2
0.959118741,0.328516965,0.590140072,2
0.848714369,0.45559299,0.202737065,2
0.181392822,0.717944868,0.935336807,2
0.39720575,0.179872745,0.11326702,1
0.974572443,0.413464466,0.863970664,2
0.847593238,0.068236518,0.564321301,1
0.801618142,0.400027769,0.744449204,2
0.23866378,0.059211371,0.453475725,1
0.951987029,0.257434921,0.910413851,2
0.487691896,0.537513706,0.601811081,2
0.969379886,0.207479874,0.476117191,2
0.770255667,0.667746563,0.626223012,2
0.715587064,0.873434775,0.706517032,2
0.931826483,0.641763265,0.240064081,2
0.005988931,0.844754767,0.135284226,1
0.702586903,0.056411285,0.997300273,2
0.247492151,0.832428011,0.37167934,1
0.826523501,0.312347404,0.577489871,2
0.230236434,0.694264281,0.664646074,2
0.210546479,0.845355276,0.521767413,2
0.642010255,0.895078966,0.832940649,2
0.34753718,0.185329073,0.853238524,1
0.848098717,0.649382698,0.231368472,2
0.410297028,0.849881688,0.181198149,1
0.555949492,0.053467724,0.971380409,2
0.415043447,0.222145683,0.514867435,1
0.27826468,0.352921496,0.51409218,1
0.972933818,0.161806811,0.209451741,1
0.990446733,0.97417128,0.531586832,2
0.108244006,0.644761174,0.326772031,1
0.111100654,0.80462335,0.475753678,1
0.692898658,0.418563989,0.235409244,1
0.522611031,0.207091504,0.488065155,1
0.262061897,0.088409439,0.237190572,1
0.714383172,0.051051899,0.550398795,1
0.686099924,0.509275902,0.036778867,1
0.141236181,0.920898119,0.729822655,2
0.479004045,0.09099676,0.12591778,1
0.27265622,0.068699175,0.27488733,1
0.508173835,0.401650998,0.27975074,1
0.075274639,0.17453807,0.692561524,1
0.623279464,0.133519625,0.688138702,1
0.340021662,0.708981321,0.239098342,1
0.971734946,0.894707494,0.317823047,2
0.807670422,0.739617692,0.917112376,2
0.328468428,0.098076205,0.669272059,1
0.220739021,0.681819645,0.667065664,2
0.97426126,0.132871274,0.474286667,2
0.6657262,0.723167513,0.876922195,2
0.134339955,0.960405143,0.89079252,2
0.918404619,0.402378706,0.701498232,2
0.229084164,0.364204115,0.444342081,1
0.45740941,0.562831271,0.526412465,2
0.779572428,0.790284335,0.930280673,3
0.944834143,0.57527321,0.654008434,2
0.698951176,0.197276615,0.807397849,2
0.794888092,0.30679706,0.112891578,1
0.145098031,0.817832516,0.450273254,1
0.102022751,0.958490582,0.747679401,2
0.900716027,0.540425251,0.742174187,2
0.599196799,0.299536119,0.577940554,1
0.343468356,0.105408934,0.756497473,1
0.731687263,0.151392808,0.109169845,1
0.148513145,0.300516967,0.229773812,1
0.367971591,0.575046184,0.567957311,2
0.159811312,0.353775874,0.986680921,2
0.748334902,0.512741751,0.835895513,2
0.034672648,0.259212253,0.565937739,1
0.058219439,0.37065782,0.694448211,1
0.369982344,0.719596199,0.219383164,1
0.898055003,0.739127521,0.08490931,2
0.668105708,0.297596642,0.615317975,2
0.084394476,0.03755103,0.285196995,0
0.376040659,0.248074293,0.086274041,1
0.748573285,0.837071367,0.23782918,2
0.515764973,0.036113762,0.869367343,1
0.278389531,0.174655371,0.646112859,1
0.660914533,0.749622625,0.093445586,2
0.330646568,0.461664021,0.945845403,2
0.851164448,0.556957773,0.770346728,2
0.927522518,0.365693858,0.93652885,2
0.958517023,0.191920806,0.597234471,2
0.359794818,0.755246062,0.276869836,1
0.893853374,0.806727571,0.901395047,3
0.128951068,0.268028778,0.985464007,1
0.299132203,0.352491718,0.455247421,1
0.166400032,0.339617216,0.635754333,1
0.342368865,0.582206967,0.894024755,2
0.475319937,0.383249006,0.708912054,2
0.345778367,0.044908864,0.22661698,1
0.500583155,0.906642584,0.333109002,2
0.051373481,0.258224521,0.401690105,1
0.642796258,0.281516754,0.140538156,1
0.395192194,0.890364565,0.140500091,1
0.789037367,0.939620907,0.164053402,2
0.187209234,0.326488776,0.09599463,1
0.175014547,0.187276413,0.288281272,1
0.249523432,0.466723286,0.05690733,1
0.319911575,0.180740289,0.131037276,1
0.193522388,0.608128791,0.088126132,1
0.709157933,0.137954382,0.47937004,1
0.726599147,0.293282249,0.039730614,1
0.446602869,0.477878675,0.456700117,1
0.788078975,0.398098984,0.110375266,1
0.243175956,0.841213091,0.135179244,1
0.411155119,0.278593127,0.412928373,1
0.001183642,0.473358145,0.725761421,1
0.35377542,0.541396719,0.484584747,1
0.431488958,0.870327857,0.262911822,2
0.441153884,0.87904005,0.01873766,1
0.184644334,0.719571221,0.162955712,1
0.39325727,0.187404125,0.861517242,1
0.09854283,0.622722588,0.818107793,2
0.579242811,0.850549977,0.160692769,2
0.761088991,0.941041983,0.684446968,2
0.424807328,0.938991863,0.912720502,2
0.002281552,0.54452101,0.571660527,1
0.717313043,0.030114019,0.945995751,2
0.16408334,0.994707608,0.178742704,1
0.21660292,0.551786235,0.155960114,1
0.602556556,0.415309061,0.345064048,1
0.764595414,0.581361689,0.711370568,2
0.011281081,0.102335539,0.76980502,1
0.028372869,0.912162682,0.854705561,2
0.113514046,0.089372591,0.747941381,1
0.480423614,0.085385056,0.150437372,1
0.832867991,0.022375752,0.258164599,1
0.860333196,0.837163386,0.719072416,2
0.210464402,0.745718496,0.048871742,1
0.460466442,0.296088275,0.258130627,1
0.406617978,0.475806871,0.191838704,1
0.45029499,0.464313747,0.11006743,1
0.285399594,0.812543115,0.182535673,1
0.346072182,0.562535983,0.426814365,1
0.409381523,0.031949707,0.263529119,1
0.7930855,0.035337446,0.713903786,2
0.635777102,0.303475727,0.566732729,2
0.292963481,0.350138512,0.480819205,1
0.922493507,0.630580943,0.662446394,2
0.381927596,0.725088014,0.428207882,2
0.089611647,0.946137944,0.261524433,1
0.390480795,0.82033195,0.727529278,2
0.694798158,0.454526007,0.435743585,2
0.948229465,0.110067697,0.422048198,1
0.876397828,0.240990813,0.809349714,2
0.554030909,0.899314671,0.695916941,2
0.980975362,0.467901601,0.233863625,2
0.614122484,0.503790755,0.259197072,1
0.977618027,0.592237017,0.380110194,2
0.738920897,0.977025212,0.220319352,2
0.765213784,0.421032148,0.597744032,2
0.504324887,0.686832405,0.952845655,2
0.859061991,0.623162744,0.423050093,2
0.275529034,0.300669079,0.675877716,1
0.031498668,0.731413865,0.2469401,1
0.231993796,0.008290571,0.336286249,1
0.808670179,0.54566364,0.995944088,2
0.344892264,0.220488494,0.406728472,1
0.629237461,0.751283959,0.808267748,2
0.784228768,0.785830294,0.791335837,2
0.425373349,0.402977342,0.908734513,2
0.74087791,0.182893183,0.415756512,1
0.142268169,0.559789292,0.953061677,2
0.689234118,0.372341071,0.223912457,1
0.663612194,0.88710988,0.180052622,2
0.973255591,0.595021475,0.83772997,2
0.672795198,0.760870426,0.723465923,2
0.887706811,0.839561528,0.377729362,2
0.543339085,0.967303199,0.051284231,2
0.894774356,0.677556234,0.014131499,2
0.864188276,0.347178427,0.706072868,2
0.366896958,0.620041361,0.248582753,1
0.393805394,0.522467025,0.241347607,1
0.026056753,0.295798097,0.210297219,1
0.41676469,0.149596787,0.535131375,1
0.584336362,0.878691767,0.606787503,2
0.584400146,0.374561526,0.183275833,1
0.683030367,0.158883482,0.454154835,1
0.064098983,0.064157857,0.324696937,0
0.12940385,0.603778851,0.532414398,1
0.249788923,0.321719602,0.953397546,2
0.832895034,0.408835233,0.391208176,2
